highlight,item,pre,post,diff,(absolute)
,addonToolbars--0,93.32%,94.85%,1.53%
,addonToolbars--1,5.42%,3.92%,-1.5%
,addonToolbars--2,1.0%,1.02%,0.02%
,addonToolbars--3,0.16%,0.14%,-0.02%
,addonToolbars--4,0.06%,0.06%,0.0%
,addonToolbars--5,0.02%,0.0%,-0.02%
,bookmarksBarEnabled--False,54.05%,53.47%,-0.58%
,bookmarksBarEnabled--True,45.95%,46.53%,0.58%
,click-bookmarks-bar-chevron-left,1.19%,0.0%,-1.19%
,click-bookmarks-bar-chevron-middle,0.0%,0.0%,0.0%
,click-bookmarks-bar-chevron-right,0.0%,0.01%,0.01%
,click-bookmarks-bar-container-left,3.16%,0.0%,-3.16%
***,click-bookmarks-bar-container-middle,0.05%,0.12%,0.07%
,click-bookmarks-bar-container-right,0.1%,0.0%,-0.1%
,click-bookmarks-bar-item-left,13.53%,18.47%,4.94%
,click-bookmarks-bar-item-middle,0.72%,0.0%,-0.72%
***,click-bookmarks-bar-item-right,0.74%,1.16%,0.42%
,click-bookmarks-bar-overflowed-item-left,0.89%,1.18%,0.29%
,click-bookmarks-bar-overflowed-item-middle,0.04%,0.0%,-0.04%
***,click-bookmarks-bar-overflowed-item-right,0.07%,0.12%,0.05%
***,click-builtin-item-alltabs-button-left,0.12%,0.21%,0.09%
,click-builtin-item-alltabs-button-middle,0.0%,0.0%,0.0%
,click-builtin-item-alltabs-button-right,0.0%,0.0%,0.0%
,click-builtin-item-back-button-left,33.4%,0.0%,-33.4%
,click-builtin-item-back-button-middle,0.08%,0.0%,-0.08%
,click-builtin-item-back-button-right,0.57%,0.72%,0.15%
***,click-builtin-item-copy-button-left,0.01%,0.02%,0.01%
,click-builtin-item-copy-button-right,0.0%,0.0%,0.0%
,click-builtin-item-cut-button-left,0.0%,0.01%,0.01%
,click-builtin-item-downloads-button-left,6.74%,0.0%,-6.74%
,click-builtin-item-downloads-button-middle,0.0%,0.01%,0.01%
,click-builtin-item-downloads-button-right,0.18%,0.22%,0.04%
,click-builtin-item-feed-button-left,0.0%,0.02%,0.02%
,click-builtin-item-feed-button-middle,0.0%,0.0%,0.0%
,click-builtin-item-feed-button-right,0.0%,0.0%,0.0%
,click-builtin-item-forward-button-left,3.6%,0.0%,-3.6%
,click-builtin-item-forward-button-middle,0.0%,0.01%,0.01%
,click-builtin-item-forward-button-right,0.04%,0.04%,0.0%
,click-builtin-item-fullscreen-button-left,0.02%,0.0%,-0.02%
,click-builtin-item-fullscreen-button-right,0.0%,0.0%,0.0%
,click-builtin-item-home-button-left,4.84%,0.0%,-4.84%
***,click-builtin-item-home-button-middle,0.08%,0.18%,0.1%
***,click-builtin-item-home-button-right,0.05%,0.08%,0.03%
,click-builtin-item-menubar-items-left,0.0%,0.0%,0.0%
,click-builtin-item-new-tab-button-left,0.84%,0.0%,-0.84%
